SKU,Name,Price,Release Date,Stock,Category,Vendor,Description
W26103,Wet Platinum Silicone Lube - 3.1 oz,14.99,237,237,Products,Wet,"Long-lasting pure silicone formula. Glycerin-free and paraben-free. Gear, Not Medicine."
W26106,Wet Platinum Silicone Lube - 6.1 oz,19.99,182,182,Products,Wet,"Long-lasting pure silicone formula. Glycerin-free and paraben-free. Gear, Not Medicine."
W20702,Wet Platinum Silicone Lube - 9 oz,36.99,111,111,Products,Wet,"Long-lasting pure silicone formula. Glycerin-free and paraben-free. Gear, Not Medicine."
W20708,Wet Platinum Silicone Lube - 16 oz,59.99,63,63,Products,Wet,"Professional-grade 16 oz pump bottle. Gear, Not Medicine."
W20715,Wet Platinum Silicone Lube - 32 oz,114.99,14,14,Products,Wet,"High-capacity 32 oz volume container. Gear, Not Medicine."
W20714,Wet Platinum Silicone Lube - 1 Gallon,349.99,14,14,Products,Wet,"Flagship 1 gallon bulk supply line (The Throne Tier). Gear, Not Medicine."
WORIG310,Wet Original Water-Based Lube - 3.1 oz,9.99,316,316,Products,Wet,"Classic water-based formula. Condom compatible. Gear, Not Medicine."
WORIG610,Wet Original Water-Based Lube - 6.1 oz,16.99,182,182,Products,Wet,"Classic water-based formula. Condom compatible. Gear, Not Medicine."
WORIG9,Wet Original Water-Based Lube - 9 oz,34.99,111,111,Products,Wet,"Classic water-based formula. Condom compatible. Gear, Not Medicine."
WORIG16,Wet Original Water-Based Lube - 16 oz,54.99,63,63,Products,Wet,"Classic water-based formula. Condom compatible. Gear, Not Medicine."
W27202,Wet Hybrid Premium Blend Lube - 1 oz,8.99,122,122,Products,Wet,"Silicone and water hybrid blend. Gear, Not Medicine."
W27204,Wet Hybrid Premium Blend Lube - 3.1 oz,13.99,9,9,Products,Wet,"Silicone and water hybrid blend. Gear, Not Medicine."
W27208,Wet Hybrid Premium Blend Lube - 9 oz,27.99,38,38,Products,Wet,"Silicone and water hybrid blend. Gear, Not Medicine."
W27209,Wet Hybrid Premium Blend Lube - 16 oz,44.99,16,16,Products,Wet,"Silicone and water hybrid blend. Gear, Not Medicine."
6755-12,Swiss Navy Silicone Lubricant - 32 oz,89.99,150,150,Products,Swiss Navy,"Professional-grade 32 oz silicone lubricant with pump. Gear, Not Medicine."
BBGOLD,Boy Butter Original Formula - 16 oz,45.00,85,85,Products,Boy Butter,"Rich cream-based lubricant and hand moisturizer. Gear, Not Medicine."
WT-27030,Wet Platinum Wipes 10ct,6.99,200,200,Products,Wet,"Convenient personal cleansing wipes. Gear, Not Medicine."
QP-SIL-01,Sovereign Starter 1oz Silicone Lube,18.49,500,500,Products,Double Outsider Supply Co,"Entry-level volume sizing for trial and gifting (The Warm-Up Tier). Gear, Not Medicine."
BC-FDA8,Elbow Grease Fusion Deep Action Silicone - 8.4 oz,31.25,95,95,Products,Elbow Grease,"High-viscosity deep action silicone formula. Gear, Not Medicine."
IDDXTM-04,ID Xtreme Waterbased - 4.4 oz,8.48,110,110,Products,ID Lubricants,"High-performance water-based lubricant. Gear, Not Medicine."
