Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Shipping,Variant Taxable,Image Src,Image Position,SEO Title,SEO Description,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1
king-cock-clear-11-balls,"King Cock Clear 11"" Cock w/Balls - Clear","
King Cock Clear 11 Inch
Clear flexible silicone dildo featuring integrated testicles and transparent visual feedback during depth play. Engineered as high-fidelity somatic equipment for personal exploration.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Swinging Balls, Depth Play, Gear Not Medicine",TRUE,Title,Default Title,PD5759-20,1360,,10,deny,manual,72.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5759-20.jpg,1,"King Cock Clear 11" Cock w/Balls - Clear","Clear silicone dildo with balls for visual depth play.",Lane One Retail,PaymentCloud NMI
king-cock-clear-18-double,"King Cock Clear 18"" Double Dildo - Clear","
King Cock Clear 18 Inch Double Dildo
Transparent dual-ended silicone dildo engineered for simultaneous depth play and partner connection.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Double Dildo, Clear Dildo, Depth Play, Gear Not Medicine",TRUE,Title,Default Title,PD5788-20,1814,,10,deny,manual,72.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5788-20.jpg,1,"King Cock Clear 18" Double Dildo - Clear","Transparent dual-ended silicone dildo for advanced depth play.",Lane One Retail,PaymentCloud NMI
king-cock-clear-4-balls,"King Cock Clear 4"" Cock w/Balls","
King Cock Clear 4 Inch
Compact clear silicone dildo with integrated testicles for precise oral exploration and targeted sensory play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Compact, Oral Exploration, Gear Not Medicine",TRUE,Title,Default Title,PD5750-20,453,,10,deny,manual,25.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5750-20.jpg,1,"King Cock Clear 4" Cock w/Balls","Compact clear silicone dildo with balls.",Lane One Retail,PaymentCloud NMI
king-cock-clear-5-balls,"King Cock Clear 5"" Cock w/Balls","
King Cock Clear 5 Inch
Clear silicone dildo with integrated testicles for targeted sensory exploration.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Sensory Play, Gear Not Medicine",TRUE,Title,Default Title,PD5751-20,567,,10,deny,manual,31.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5751-20.jpg,1,"King Cock Clear 5" Cock w/Balls","Clear silicone dildo with balls for sensory exploration.",Lane One Retail,PaymentCloud NMI
king-cock-clear-6,"King Cock Clear 6"" Cock","
King Cock Clear 6 Inch
Clear silicone dildo engineered for tactile grounding and depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Depth Play, Gear Not Medicine",TRUE,Title,Default Title,PD5753-20,680,,10,deny,manual,33.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5753-20.jpg,1,"King Cock Clear 6" Cock","Clear silicone dildo for tactile grounding.",Lane One Retail,PaymentCloud NMI
king-cock-clear-6-balls,"King Cock Clear 6"" Cock w/Balls","
King Cock Clear 6 Inch with Balls
Clear silicone dildo with integrated testicles for balanced weight and depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Swinging Balls, Gear Not Medicine",TRUE,Title,Default Title,PD5752-20,794,,10,deny,manual,36.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5752-20.jpg,1,"King Cock Clear 6" Cock w/Balls","Clear silicone dildo with balls.",Lane One Retail,PaymentCloud NMI
king-cock-clear-6-balls-pink,"King Cock Clear 6"" Cock w/Balls - Pink","
King Cock Clear 6 Inch Pink
Pink translucent silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Pink Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5752-11,794,,10,deny,manual,36.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5752-11.jpg,1,"King Cock Clear 6" Cock w/Balls - Pink","Pink translucent silicone dildo with balls.",Lane One Retail,PaymentCloud NMI
king-cock-clear-6-balls-purple,"King Cock Clear 6"" Cock w/Balls - Purple","
King Cock Clear 6 Inch Purple
Purple translucent silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Purple Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5752-12,794,,10,deny,manual,32.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5752-12.jpg,1,"King Cock Clear 6" Cock w/Balls - Purple","Purple translucent silicone dildo with balls.",Lane One Retail,PaymentCloud NMI
king-cock-clear-7-balls,"King Cock Clear 7"" Cock w/Balls","
King Cock Clear 7 Inch with Balls
Clear silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Swinging Balls, Gear Not Medicine",TRUE,Title,Default Title,PD5754-20,907,,10,deny,manual,43.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5754-20.jpg,1,"King Cock Clear 7" Cock w/Balls","Clear silicone dildo with balls in 7 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-7-balls-pink,"King Cock Clear 7"" Cock w/Balls - Pink","
King Cock Clear 7 Inch Pink
Pink translucent silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Pink Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5754-11,907,,10,deny,manual,39.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5754-11.jpg,1,"King Cock Clear 7" Cock w/Balls - Pink","Pink translucent silicone dildo with balls in 7 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-7-balls-purple,"King Cock Clear 7"" Cock w/Balls - Purple","
King Cock Clear 7 Inch Purple
Purple translucent silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Purple Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5754-12,907,,10,deny,manual,43.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5754-12.jpg,1,"King Cock Clear 7" Cock w/Balls - Purple","Purple translucent silicone dildo with balls in 7 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-7-5-balls,"King Cock Clear 7.5"" Cock w/Balls","
King Cock Clear 7.5 Inch with Balls
Clear silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Swinging Balls, Gear Not Medicine",TRUE,Title,Default Title,PD5755-20,1020,,10,deny,manual,47.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5755-20.jpg,1,"King Cock Clear 7.5" Cock w/Balls","Clear silicone dildo with balls in 7.5 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-7-5-balls-clear,"King Cock Clear 7.5"" Cock w/Balls - Clear","
King Cock Clear 7.5 Inch Clear
Clear silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Swinging Balls, Gear Not Medicine",TRUE,Title,Default Title,PD5760-20,1020,,10,deny,manual,43.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5760-20.jpg,1,"King Cock Clear 7.5" Cock w/Balls - Clear","Clear silicone dildo with balls in 7.5 inch clear.",Lane One Retail,PaymentCloud NMI
king-cock-clear-8,"King Cock Clear 8"" Cock","
King Cock Clear 8 Inch
Clear silicone dildo engineered for tactile grounding and depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Depth Play, Gear Not Medicine",TRUE,Title,Default Title,PD5757-20,1020,,10,deny,manual,47.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5757-20.jpg,1,"King Cock Clear 8" Cock","Clear silicone dildo in 8 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-8-pink,"King Cock Clear 8"" Cock - Pink","
King Cock Clear 8 Inch Pink
Pink translucent silicone dildo engineered for tactile grounding and depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Pink Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5757-11,1020,,10,deny,manual,47.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5757-11.jpg,1,"King Cock Clear 8" Cock - Pink","Pink translucent silicone dildo in 8 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-8-purple,"King Cock Clear 8"" Cock - Purple","
King Cock Clear 8 Inch Purple
Purple translucent silicone dildo engineered for tactile grounding and depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Purple Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5757-12,1020,,10,deny,manual,43.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5757-12.jpg,1,"King Cock Clear 8" Cock - Purple","Purple translucent silicone dildo in 8 inch.",Lane One Retail,PaymentCloud NMI
