"SKU","Name","Wholesale","Retail","Category","Persona","Vendor","Image Src","Description"
"SE1514-25","Accommodator Dual Penetrator - Black","11.75","25.85","Somatic Hardware > Mechanical","Alex","Williams Trading","/images/products/se1514-25-1.jpg","Dual penetrator with simultaneous vibration. Gear, Not Medicine."
"IBIC1359","Alien Nation Centaur","45.00","99.00","Somatic Hardware > Positional","Alex","Eldorado","/images/products/ibic1359-1.jpg","Advanced positional hardware. Gear, Not Medicine."
"IBIC1350","Alien Nation Cerberus","27.50","60.50","Somatic Hardware > Positional","Alex","Eldorado","/images/products/ibic1350-1.jpg","Multi-headed positional anchor. Gear, Not Medicine."
"DJ5079-03","Belladonna's Bitch Fist","27.53","60.57","Somatic Hardware > Mechanical","Alex","Williams Trading","/images/products/dj5079-1.jpg","Textured fisting aid. Gear, Not Medicine."
"BV-162","b-Vibe Fists 14.5"" Fist-Style Realistic Dildo","25.00","55.00","Somatic Hardware > Mechanical","Alex","b-Vibe","/images/products/bv-162-1.jpg","Large-scale internal expansion tool. Gear, Not Medicine."
"BV-058-CRM","b-Vibe Slipskin 9"" Girthy - Cream","92.50","203.50","Somatic Hardware > Mechanical","Alex","b-Vibe","/images/products/bv-058-1.jpg","Textured silicone cylinder. Gear, Not Medicine."
"DJ0300-16","A Play Expander Rechargeable Plug - Royal Blue","67.75","149.05","Somatic Hardware > Mechanical","Alex","Williams Trading","/images/products/dj0300-1.jpg","Graduated expansion plug with vibration. Gear, Not Medicine."
"NX1254","Nexus Simul8 Black","43.50","95.70","Somatic Hardware > Mechanical","Alex","Nexus","/images/products/nx1254-1.jpg","Advanced mechanical tactile stimulator. Gear, Not Medicine."
"GLAS-514","Glas 11"" Fist Double Ended w/Handle Grip","35.00","77.00","Somatic Hardware > Glass","Alex","Eldorado","/images/products/glas-514-1.jpg","Double-ended glass cylinder. Gear, Not Medicine."
"BC-FDA8","Elbow Grease Fusion Deep Action Silicone - 8.4 oz","31.25","68.75","Somatic Hardware > Lubricants","Alex","Elbow Grease","/images/products/bc-fda8-1.jpg","Deep action silicone lubricant. Gear, Not Medicine."
